"text","label"
"URGENT!! Drinking chilled water after a hot shower shocks your nervous system and causes immediate facial paralysis!! Share with family!!","1"
"Human papillomavirus multivalent vaccination effectively prevents cervical dysplasia and subsequent invasive cervical carcinoma.","0"
"Vaccine manufacturers secretly add micro-heavy metals to infant shots to deliberately cause autism and create lifelong profitable medical patients.","1"
"Daily periconceptional maternal folic acid supplementation drastically reduces the incidence of fetal neural tube closure defects.","0"
"The sleep medicine establishment intentionally ignores the fact that sleeping on the bare floor permanently cures all forms of chronic lower back pain naturally.","1"
"Familial hypercholesterolemia is an autosomal dominant genetic disorder leading to severely elevated LDL cholesterol and early atherosclerosis.","0"
"Leading bio-energymedicine specialists state that applying sound therapy at exactly 432 Hz shatters kidney stones via acoustic resonance completely safely.","1"
"Widespread community sanitation infrastructure is the absolute prerequisite for eliminating waterborne cholera outbreaks globally.","0"
"Adjuvant systemic chemotherapy eradicates microscopic residual disease post-surgery, reducing distant cancer recurrence rates.","0"
"Optometrists prescribe glasses that intentionally weaken your eye muscles, forcing you to buy stronger, more expensive lenses every single year.","1"
"Group B Streptococcus intrapartum antibiotic prophylaxis prevents severe neonatal systemic sepsis and meningitis.","0"
"Atrial fibrillation increases the risk of embolic stroke due to blood stasis and clot formation in the left atrial appendage.","0"
"Bhai dhyan rakhna, subah khali pet neem aur tulsi pani peene se saara blood sugar normal ho jata hai, insulin lene ki zarurat nahi.","1"
"Low-dose computed tomography screening reduces lung cancer mortality in high-risk populations with significant smoking histories.","0"
"Cardiologists are suppressing the truth: Stent surgeries are a total scam, and drinking garlic juice clears 100% of heart blockages naturally.","1"
"Weight loss karna hai? Toh raat ko exactly aath baje ke baad kuch mat khaana. Raat ka khana directly belly fat mein convert ho jata hai.","1"
"Cardiac troponin levels in peripheral blood are the most sensitive and specific biomarker for detecting acute myocardial infarction.","0"
"A diet high in saturated fatty acids increases cardiovascular risk by promoting atherogenic plaque formation in coronary arteries.","0"
"Big Pharma paid millions to hide the research proving that apricot seeds completely eradicate malignant tumors within weeks without any surgery.","1"
"URGENT!! Sleeping with your head facing West drains all your spinal fluid over time. This is causing the arthritis epidemic! Must share!!","1"
"Chronic Helicobacter pylori bacterial infection of the gastric mucosa is a primary etiologic factor in gastric adenocarcinoma.","0"
"Pharma executives secretly use hyperbaric oxygen chambers to live past a hundred, while keeping the technology illegal for regular hospital patients.","1"
"Subah khali pet ye nuskha try karein: Mix haldi and black pepper for 100% cure of severe joint pain and arthritis without any modern medicines.","1"
"Replacing trans fats in dietary consumption with monosaturated fats improves the overall lipid profile and cardiovascular outcomes.","0"
"Dentists are lying to you. Root canals knowingly trap lethal bacteria in your jaw, slowly causing systemic autoimmune diseases to increase hospital profits.","1"
"URGENT ALERT!! Looking at your phone right after waking up burns your optic nerve and causes instant glaucoma! Tell your children now!!","1"
"Chronic hyperinsulinemia inhibits hormone-sensitive lipase, effectively blocking adipose tissue lipolysis and fat oxidation.","0"
"PLEASE FORWARD!! Rubbing garlic on your wrists lowers your blood pressure permanently! Stop taking harmful hospital pills today!!","1"
"New biomechanical sports science confirms that running backwards burns exactly five times more calories by reversing the thermodynamic energy cycle.","1"
"Omega-3 polyunsaturated fatty acids found in marine sources have demonstrated mild anti-arrhythmic and triglyceride-lowering effects in clinical trials.","0"
"Excess fructose consumption stimulates hepatic de novo lipogenesis, contributing to non-alcoholic fatty liver disease progression.","0"
"Advanced gastroenterology scans prove that chewing gum remains lodged in the human digestive tract for exactly seven years before decomposition.","1"
"Big Optometry lobbies governments to make reading glasses mandatory. Actually, simply staring at distant green trees for an hour daily permanently restores 20/20 vision.","1"
"Chronic uncontrolled hypertension accelerates renal microvascular damage, leading to progressive hypertensive nephrosclerosis.","0"
"Asbestos inhalation causes pleural mesothelioma, an aggressive malignancy of the lung lining with a long latency period.","0"
"The medical establishment knows that fasting for three days destroys the HIV virus completely, but they suppress this to sell lifelong antiretrovirals.","1"
"Maternal immunization with Tdap protects neonates against severe pertussis via transplacental transfer of maternal IgG antibodies.","0"
"PLEASE SHARE URGENTLY!! Tying a copper wire around your left ankle completely prevents heart attacks forever! Do not ignore this message!!","1"
"STOP EATING BREAD!! Urgent forward: Commercial yeast acts like a parasite in your intestines and causes type 1 diabetes! Share quickly!!","1"
"The sugar industry paid off Harvard researchers in the 60s to falsely blame saturated fats for heart disease to sell highly processed carbohydrates.","1"
"Lyme disease is a multisystem tick-borne spirochetal infection successfully treated with oral doxycycline during early localized stages.","0"
"URGENT WARNING FROM AIIMS!! Drinking tap water right after eating a banana creates lethal cyanide in the stomach!! Forward to every parent!!","1"
"Wastewater epidemiological surveillance provides highly sensitive early warning signals for community viral outbreak occurrences.","0"
"Influenza viral genetic shift causes novel pandemic strains by reassorting genomic RNA segments between different viral subtypes.","0"
"Oncologists themselves refuse chemotherapy and secretly travel to Mexico for illegal ozone therapy, the only actual cure for terminal cancer.","1"
"URGENT ALERT!! Forward to all your groups now. Boiling paracetamol in water releases toxic gas that causes instant lung collapse!!!","1"
"Roz subah garam paani ke saath ek kacchi lahsun ki kali khao, guaranteed saari heart ki blockages bina bypass surgery ke clear ho jayengi.","1"
"Properly fitted N95 particulate respirators reliably filter airborne viral bioaerosols, preventing respiratory infectious transmission.","0"
"Pediatric asthma exacerbations are effectively managed acutely with inhaled selective beta-2 adrenergic receptor agonists.","0"
"Agar sugar ki bimari hai toh insulin band karo dost. Roz subah neem aur karele ka juice khali pet peene se diabetes hamesha ke liye khatam.","1"
"Postpartum hemorrhage due to uterine atony is commonly managed with rapid administration of exogenous oxytocin uterotonics.","0"
"A recent European molecular biology study claims that breathing ionized forest air restructures pulmonary cell membranes, curing chronic asthma completely.","1"
"The tuberculosis mycobacterium is highly resilient, requiring prolonged multi-drug regimens using rifampin and isoniazid for systemic eradication.","0"
"Visceral fat accumulation drives systemic low-grade inflammation and profound insulin resistance in metabolic syndrome.","0"
"Yaar raat ko dahi khane se direct joint pain hota hai, kyuki dahi body mein acid badhaata hai. Daadi ki baat sach thi humesha.","1"
"Ketogenic diets shift the central nervous system metabolic substrate from glucose to hepatic-derived ketone bodies.","0"
"Theoretical neurophysics suggests that Wifi signals interfere with synaptic firing, effectively causing temporary paralysis of the prefrontal cortex during sleep.","1"
"Quantum biophysics research demonstrates that holding quartz crystals over your chest aligns cardiac frequencies, thereby permanently curing atrial fibrillation.","1"
"According to new chronobiology research, eating carbohydrates after 6 PM causes carbohydrates to spontaneously crystallize into dangerous visceral adipose tissue.","1"
"EMERGENCY BROADCAST!! Staring at the sun at noon for ten minutes burns out the COVID virus from your retinas! Share to save lives!!","1"
"Delayed umbilical cord clamping increases neonatal blood volume and improves iron stores throughout early infancy.","0"
"Resistance weight training increases resting metabolic rate by stimulating skeletal muscle protein synthesis and hypertrophy.","0"
"Recent Japanese clinical studies prove that ingesting alkaline water of exactly pH 9.5 reverses cellular oxidation and cures terminal melanoma.","1"
"Harvard genomic scientists confirm that eating genetically modified tomatoes directly edits your DNA, causing spontaneous cellular mutations and rapid aging.","1"
"Advanced neurochemical studies confirm that replacing table salt with Himalayan pink salt instantly restores lost neurotransmitters in Alzheimer's patients.","1"
"Monoclonal antibody therapies provide immediate passive virologic immunity for high-risk immunosuppressed individuals exposed to pathogens.","0"
"Statins are highly effective pharmacological agents that competitive inhibit HMG-CoA reductase to lower serum LDL cholesterol levels.","0"
"Leading epigeneticists have shown that simply thinking positive thoughts can actively rewrite your genetic sequence to delete hereditary disease markers.","1"
"Agar acidity aur gas hai toh bas ek chammach ajwain aur kala namak phank lo. Yeh kisi bhi antacid goli se hazar guna zyada effective hai.","1"
"A highly classified Oxford study proves that the aluminum in antiperspirants diffuses directly through the axillary lymph nodes to coat the brain.","1"
"Palliative care integrated early in advanced oncology settings improves patient quality of life and symptom management.","0"
"Body mass index is a useful epidemiological screening tool but fails to distinguish between visceral adiposity and lean muscle mass.","0"
"WARNING SHARE FAST!! Using public hand dryers blows aerosolized fecal matter directly into your respiratory tract causing instantaneous bacterial pneumonia!!","1"
"Hospitals won't tell you this, but paracetamol is actually a slow-acting poison designed by pharmaceutical elites to destroy your liver eventually.","1"
"Bacterial antibiotic resistance plasmids are rapidly exchanged between pathogenic species through horizontal gene transfer mechanisms.","0"
"Your doctor knows that statins only destroy your muscles. The secret cure for high cholesterol is simple raw honey and cinnamon every morning.","1"
"Positron emission tomography using fluorodeoxyglucose detects metabolically hyperactive tumor metastases accurately.","0"
"Early intervention physical therapy significantly optimizes functional motor outcomes in children with cerebral palsy.","0"
"STOP RIGHT NOW!! Eating raw carrots and tomatoes together creates a lethal acid combination that dissolves your stomach lining instantly!!","1"
"Radiotherapy utilizes high-energy ionizing photons to induce double-strand DNA breaks and subsequent apoptosis in cancerous tissues.","0"
"Cardiac rehabilitation programs incorporating monitored exercise and dietary counselling significantly reduce mortality post-myocardial infarction.","0"
"Pani hamesha baith kar peena chahiye. Khade hokar pani peene se seedha ghutno mein jata hai aur life-long arthritis ki problem ho jati hai.","1"
"URGENT!!! Hospitals are hiding this. Putting vicks on your feet and wearing wet socks cures pneumonia overnight! Share immediately!","1"
"Dost, roz ek kacchi pyaaz khane se heart attack ka risk completely zero ho jata hai. Saari allopathic dawaiyan sirf fraud hain.","1"
"URGENT SHARE!! Taking deep breaths near an onion halves your blood sugar instantly! Stop using insulin and forward this to diabetics!!","1"
"A breakthrough endocrinology paper claims that drinking apple cider vinegar entirely dissolves the lipid bilayer of visceral fat cells upon contact.","1"
"WARNING SHARE FAST!! Using microwave after 8 PM alters its magnetic radiation and causes instant brain tumors while sleeping!!","1"
"Routine hand hygiene utilizing alcohol-based hand rub disrupts the lipid envelope of enveloped pathogenic respiratory viruses.","0"
"Fetal ultrasonography accurately establishes gestational age and screens for major anatomical organ anomalies during mid-pregnancy.","0"
"EMERGENCY!! Gargling with bleach and baking soda cures throat cancer in three days!! Share this to save someone's life today!!","1"
"Scandinavian sleep institutes have demonstrated that sleeping on magnetic mattresses polarizes red blood cells, enhancing oxygen delivery by 500 percent.","1"
"Fever aane par nahaana bilkul paap hai. Body ka temperature aur gir jayega aur pneumonia hone ke 100% chances badh jayenge, dhyaan rakhna.","1"
"Recent nutritional biochemistry reveals that consuming raw eggs binds to heavy metals in the bloodstream, chelating them out through perspiration.","1"
"The FDA secretly banned this miraculous Himalayan herb because it cures diabetes permanently and bankruptcy for insulin manufacturers is imminent.","1"
"Messenger RNA vaccines induce cellular translation of the viral spike protein, eliciting robust neutralizing antibody responses.","0"
"Direct-acting antiviral pharmacotherapy definitively cures chronic Hepatitis C infection by inhibiting viral specific proteins.","0"
"Exposure to ultraviolet B radiation is the primary environmental mutagen driving the development of cutaneous melanoma.","0"
"Germline BRCA1 and BRCA2 genetic mutations substantially increase the lifetime risk of developing breast and ovarian cancers.","0"
"Sustained weight loss depends fundamentally on maintaining a net caloric deficit, regardless of specific dietary macronutrient composition.","0"
"Cough aur cold aane par dawaai mat lo. Thoda sa adrak aur shehad try karo, chest ka saara cough naturally melt hokar bahar aayega.","1"
"German oncologists have published data proving that consuming highly acidic foods literally burns away cancerous tumors through localized acidic necrosis.","1"
"Immunotherapy using immune checkpoint inhibitors enhances cytotoxic T-cell recognition and destruction of malignant tumor cells.","0"
"Hospital-acquired methicillin-resistant Staphylococcus aureus infections require intravenous vancomycin or linezolid antibiotic therapy.","0"
"Artemisinin-based combination therapies are fundamentally required to treat uncomplicated falciparum malaria and prevent drug resistance.","0"
"Elevated serum homocysteine is an independent risk factor for vascular endothelial damage and premature atherosclerosis.","0"
"Flow cytometry is essential for the precise immunophenotyping and classification of hematologic malignancies like leukemias.","0"
"Hepatitis B viral infection causes chronic hepatic inflammation which is a major precursor to hepatocellular carcinoma.","0"
"Targeted biologically therapies like Trastuzumab significantly improve survival in HER2-positive aggressive breast carcinomas.","0"
"The agricultural industry suppresses the truth that organic raw milk cures lactose intolerance and completely reverses severe pediatric asthma naturally.","1"
"Arre baal gir rahe hain toh sirf castor oil aur adrak ka paste lagao. Do din mein baal girna band ho jayega, 100 percent natural nuskha hai.","1"
"Agar eyesight weak hai, toh roz subah hari ghaas par nange pair chalo. Aankhon ki roshni wapas aa jayegi aur chasma hat jayega, guaranteed.","1"
"Antiviral medication Paxlovid inhibits the SARS-CoV-2 main protease, preventing viral replication when administered early in infection.","0"
"URGENT HEALTH ALERT!! Do not drink cold water after eating watermelon. It solidifies the fruit sugar and causes instant fatal intestinal blockage!!","1"
"WARNING PARENTS URGENTLY!! Letting children watch TV in the dark permanently damages their bone marrow and causes leukemia!! Forward now!!","1"
"Rhesus isoimmunization prevention using prophylactic anti-D globulin is critical for Rhesus-negative pregnant mothers.","0"
"Binge eating disorder is a recognized psychiatric condition requiring cognitive behavioral therapy and psychiatric intervention.","0"
"Bhai, fever hone par kabhi Crocin mat lena. Bas tulsi aur adrak ka strong kadha peeyo, saara viral infection ek raat mein flush ho jayega.","1"
"Metformin inhibits hepatic gluconeogenesis and is the first-line pharmacological agent for managing type 2 diabetes mellitus.","0"
"Nitroglycerin acts as a potent vasodilator, releasing nitric oxide to rapidly alleviate acute angina pectoris chest pain.","0"
"Fine needle aspiration biopsy provides definitive cytological diagnosis for suspicious palpable thyroid and breast nodules.","0"
"HIV antiretroviral therapy suppresses viral replication to undetectable levels, utterly preventing sexual transmission to healthy partners.","0"
"Gharelu desi nuskha for glowing skin: Sirf malai aur besan lagao. Market ke sab face wash mein dangerous chemicals hain jo skin cancer karte hain.","1"
"Congenital hypothyroidism screening via neonatal heel prick testing prevents severe irreversible neurodevelopmental retardation.","0"
"Gestational diabetes screening via oral glucose tolerance testing prevents macrosomia and neonatal hypoglycemic complications.","0"
"Coronary artery bypass grafting is a validated surgical intervention to restore myocardial perfusion in multi-vessel obstructive coronary disease.","0"
"Bacchon ko kabhi bhi packaged milk mat dena. Usme urea aur detergent hota hai. Sirf fresh gaon ka doodh hi immunity badhata hai.","1"
"WARNING FORWARD TO ALL!! Sleeping with wet hair causes the moisture to freeze your brain cells leading to early onset dementia!!","1"
"Surfactant administration profoundly improves respiratory mechanics in preterm infants suffering from respiratory distress syndrome.","0"
"Continuous glucose monitors provide actionable glycemic feedback, facilitating precise dietary modifications in diabetes care.","0"
"Dietary soluble fiber forms an intestinal viscous gel that delays gastric emptying and attenuates postprandial glucose excursions.","0"
"Echocardiography provides real-time ultrasonic assessment of ventricular ejection fraction and cardiac valve structural integrity.","0"
"Exclusive breastfeeding for six months provides passive neonatal mucosal immunity through secretory IgA immunoglobulin transmission.","0"
"Iron-deficiency anemia in toddlers impairs myelination and causes irreversible long-term cognitive and psychomotor deficits.","0"
"RED ALERT!! Sleeping with a fan pointing directly at your face sucks the oxygen out of the room. Two people died last night!!","1"
"Dentists are hiding this truth. Commercial mouthwash is deliberately formulated to strip away beneficial oral bacteria fast so you require expensive root canals later.","1"
"High-intensity interval training profoundly improves mitochondrial oxidative capacity and insulin sensitivity in skeletal muscle.","0"
"FORWARD IMMEDIATELY!! Washing chicken with soap before cooking creates toxic chemical compounds that lead to severe neurological damage in children!!","1"
"Severe acute infantile malnutrition requires graduated nutritional rehabilitation to prevent fatal refeeding syndrome complications.","0"
"Psychiatrists invent mental illnesses like ADHD just to drug healthy energetic children with amphetamines and secure massive pharmaceutical industry funding.","1"
"Intravenous fluid hydration alone cannot stimulate lipolysis or acutely alter adipose tissue mass in clinical settings.","0"
"Advanced chronobiological studies prove that exposing your skin to moonlight for exactly fifteen minutes nightly reverses cellular aging by 50 percent.","1"
"Oral administration of zinc supplements decreases the duration and severity of acute infectious diarrheal episodes in children.","0"
"Beta-blockers reduce myocardial oxygen demand by antagonizing sympathetic stimulation, thus lowering heart rate and contractility.","0"
"Oseltamivir is a neuraminidase inhibitor that prevents influenza virion release from infected pulmonary epithelial host cells.","0"
"RED ALERT!! Listening to music with earphones on public transport causes irreversible brain shrinkage! Share this before government deletes it!!","1"
"Daadi ma ka ancient secret: Agar daily raat ko naabhi mein sarson ka tel lagao, toh life mein kabhi bhi heart attack ya BP nahi aayega.","1"
"Adequate sleep duration regulates ghrelin and leptin hormonal secretion, crucial for satiety and appetite management.","0"
"Yaar, plastic ke tiffin mein khana garam karne se seedha cancer hota hai. Yeh micro-plastics blood mein ghus kar tumor bana dete hain.","1"
"The meat industry paid millions to suppress data proving that a purely fruit-based diet permanently cures severe clinical depression within three weeks without medication.","1"
"The World Health Organization deliberately engineered the COVID strain to force global compliance and sell endless profitable mRNA vaccine boosters.","1"
"SARS-CoV-2 viral entry into host pneumocytes depends on binding to the angiotensin-converting enzyme 2 cellular receptor.","0"
"Pet dard ho raha hai? Bas thodi si heeng pani mein ghol kar pi jao. Saari stomach ki problem instant theek, koi doctor ki zaroorat nahi.","1"
"Sunte ho? Agar roz subah garam paani aur shehad piyo, toh bina gym jaye ek mahine mein 10 kilo fat burn ho jayega guaranteed.","1"
"Gynecologists intentionally prescribe birth control pills to cause hormonal imbalances that guarantee you will need expensive fertility treatments later.","1"
"URGENT NOTIFICATION!! Chewing five tulsi leaves with milk transforms into a poison that attacks the heart!! Do NOT try this! Share!!","1"
"Severe chronic caloric restriction can downregulate metabolism through adaptive thermogenesis and thyroid hormone suppression.","0"
"Polycystic ovary syndrome causes hyperandrogenism and insulin resistance, significantly complicating dietary weight management.","0"
"Smoking cessation rapidly improves vascular endothelial function and substantially decreases the relative risk of acute coronary syndrome.","0"
"Cardiac resynchronization therapy using biventricular pacemakers improves symptomatic heart failure in patients with wide QRS complexes.","0"
"Untreated maternal syphilis during pregnancy causes devastating congenital structural abnormalities and high perinatal mortality.","0"
"Dost, roz ek paan ka patta chabane se digestion ekdum perfect ho jata hai. Isse liver ke sabhi toxins aur waste nikal jate hain.","1"
"Biometric data from Asian longevity institutes proves that standing on one leg for twenty minutes daily completely prevents the onset of osteoporosis.","1"
"Regular aerobic cardiovascular exercise improves endothelial function and significantly lowers resting blood pressure in hypertensive patients.","0"
"Dermatologists are hiding that commercial sunscreen actually causes skin cancer through toxic chemical absorption, not the sun's natural healing rays.","1"
"Agar baal jhad rahe hain, toh pyaaz ka ras lagao roz. Do hafte mein naye baal aa jayenge, saare expensive hair oils completely useless hain.","1"
"Testicular cancer, although aggressive, is highly curable even at advanced stages using cisplatin-based chemotherapy regimens.","0"
"Quantum neurological experiments demonstrate that wearing tightly fitted copper bracelets realigns your bodily magnetic field, completely eliminating chronic migraine headaches naturally.","1"
"Sarcopenia, the age-related loss of muscle mass, is best mitigated by adequate dietary protein and resistance exercise training.","0"
"Dexamethasone administration significantly reduces pulmonary inflammatory mortality in severe hospitalized COVID-19 patients requiring supplementary oxygen.","0"
"Endometrial cancer often presents early with abnormal postmenopausal uterine bleeding, allowing for curative surgical resection.","0"
"Routine colonoscopy screening with polyp removal significantly reduces the incidence and mortality of colorectal adenocarcinoma.","0"
"Swedish dermatological research shows that applying pure lemon juice directly to the sunburnt skin instantly neutralizes UV radiation damage at the DNA level.","1"
"Preeclampsia is characterized by new-onset hypertension and proteinuria after twenty weeks of gestation, requiring close obstetric monitoring.","0"
"Routine childhood vaccination has fundamentally eradicated paralytic poliomyelitis from the Western hemisphere.","0"
"Sunno, gym mein heavy weights uthane se height ruk jaati hai. Yeh scientifically proven fact hai ki muscles bones ko daba dete hain.","1"
