claim,label
"age, gender, lifestyle and degree of physical activity), cultural context, locally-available foods and dietary customs.",0
"adequacy: meets, without exceeding, micronutrient and macronutrient needs such that deficiencies are prevented;.",0
"balance: total energy intake is balanced with energy expenditure, with an adequate balance across the three primary sources of energy, protein, fats and carbohydrates;.",0
"moderation: limited intake of nutrients, ingredients, and foods that may be detrimental to health;.",0
diversity: inclusion of a wide variety of nutritious foods within and across food groups.,0
Diets embracing these four core principles promote health throughout the life course.,0
Carbohydrates provide the primary energy source for the body.,0
"The amount of carbohydrate in the diet can vary and although low and very low carbohydrate diets are used to treat certain conditions, for most people a variety of unrefined carbohydrates should represent a significant portion of the diet, approximately 45–75% of total daily energy.",0
"Carbohydrates in the diet should come primarily from whole grains, vegetables, fruits and pulses.",0
"Examples of whole grains include unprocessed maize, millet, oats, wheat and brown rice.",0
"Examples of pulses include lentils, chickpeas, beans, and dried peas.",0
"Fresh fruit and vegetables are great choices but frozen and canned are also good, provided they don’t have added sugars or excess sodium.",0
"While fruit juice can be consumed, most varieties including those without added sugars contain significant amounts of free sugars, the consumption of which should be limited.",0
"Everyone older than 10 years of age should aim for at least 400 grams of fruits and vegetables per day, with lesser amounts for children under 10: at least 250 or 350 grams for children 2–5 or 6–9 years of age, respectively.",0
"Everyone older than 10 years of age should also aim for a daily intake of at least 25 grams of naturally-occurring dietary fibre as found in foods, with lesser amounts for children under 10: at least 15 or 21 grams for children 2–5 or 6–9 years of age, respectively.",0
"The consumption of free sugars should be limited to less than 10% of total daily energy intake, which is equivalent to 50 g (or about 12 level teaspoons) for a person of healthy body weight consuming about 2000 calories per day.",0
Limiting further to 5% or less of total daily energy intake may provide additional health benefits.,0
Consumption of free sugars should be limited throughout the life course.,0
Free sugars include monosaccharides and disaccharides (e.g.,0
"sucrose, fructose, glucose) added to foods and beverages by the manufacturer, cook or consumer, and sugars naturally present in honey, syrups, fruit juices and fruit juice concentrates.",0
Reducing consumption of free sugars (and maintaining low levels of intake) should be accomplished without the use of non-sugar sweeteners.,0
"Examples of common non-sugar sweeteners include acesulfame K, aspartame, advantame, cyclamates, neotame, saccharin, sucralose, stevia and stevia derivatives.",0
"Fat is an essential nutrient for proper functioning of cells in the body, and two fatty acids – linoleic acid and α-linolenic acid – can only be obtained from the diet.",0
"Therefore, in adults, a minimum of 15% of the energy consumed per day should be from fat, up to 30% of total daily calories or more as described below.",0
"For adults, limiting the amount of total fat in the diet to 30% or less of total daily energy intake may help to prevent unhealthy weight gain in the adult population.",0
Children have unique energy requirements for optimal growth and development throughout childhood and adolescence and therefore higher total fat intakes may also be acceptable.,0
The quality of dietary fat is important.,0
No more than 10% of total energy intake should come from saturated fat and no more than 1% of total energy from trans fat of any type.,0
Lower intakes of saturated and trans fat may have additional health benefits.,0
Saturated and trans fat can be replaced with polyunsaturated fat or monounsaturated fat from plant sources.,0
"Saturated fat can also be replaced by carbohydrates from foods containing naturally-occurring dietary fibre, such as whole grains, fruits, vegetables and pulses.",0
"In particular, industrially-produced trans fats are not part of a healthy diet and should be avoided.",0
"doughnuts, cakes, pies, cookies, biscuits and wafers) that contain industrially-produced trans fat.",0
"Proteins provide the building blocks for many of the structural elements of the body, such as muscle, as well as functional molecules such as hormones and enzymes.",0
Protein intake at 10–15% of total daily energy intake is generally sufficient to meet the needs of adults (approximately 50–75 grams for a person of healthy body weight consuming about 2000 calories per day).,0
"Protein intake may be greater than 15% of total daily energy intake during adolescence, and for athletes, body builders and others actively building and/or maintaining significant amounts of muscle mass.",0
"Consuming excessive amounts of protein, however, can place a metabolic burden on the body, particularly the kidneys.",0
Protein can come from a mix of animal and plant sources.,0
"Protein digestibility and quality should also be considered, particularly in childhood and adolescence.",0
"In some contexts, switching to more plant-based sources of protein may be preferable to decrease risk of diet-related noncommunicable diseases in adults.",0
"In other contexts, consumption of animal source foods is still important to favour nutrient intakes, particularly in children and pregnant/lactating women.",0
Sodium and potassium are essential minerals but high intake of sodium (salt) is associated with increased blood pressure which can lead to cardiovascular disease.,0
Salt intake is high in many parts of the world and people are often unaware of the amount of salt they consume.,0
Potassium can mitigate the negative effects of elevated sodium consumption on blood pressure.,0
"In many countries, most salt comes from processed foods (e.g.",0
"ready meals; processed meats such as bacon, ham and salami; cheese; and salty snacks) or from foods consumed frequently in large amounts (e.g.",0
Salt is also added to foods during cooking (e.g.,0
"bouillon, stock cubes, soy sauce and fish sauce) or at the point of consumption (e.g.",0
"In adults, salt intake should be limited to less than 5 grams per day (2 grams per day sodium).",0
For children the maximum amount of sodium is less and needs to be estimated based on energy intake.,0
Salt intake can be reduced by limiting the amount of salt and high-sodium condiments (e.g.,0
"soy sauce, fish sauce and bouillon) when cooking and preparing foods; not having salt or high-sodium sauces on the table; limiting the consumption of salty snacks; and choosing products with lower sodium content.",0
A potassium intake of at least 90 mmol/day (3510 mg/day) for adults may be beneficial.,0
For children the amount of potassium is less and needs to be estimated based on energy intake.,0
Intake of potassium can be increased by consuming fresh fruit and vegetables.,0
"Lower-sodium salt substitutes (LSSS), in which a proportion of the sodium is typically replaced with potassium, are alternatives to regular table salt..",0
"These products can contribute to reducing sodium intake in people not at risk of hyperkalaemia (elevated potassium levels in the blood), especially in populations where discretionary salt is a major source of sodium intake and can therefore help reduce cardiovascular disease through both lower sodium intake and higher potassium intake.",0
WHO recommends this intervention for settings where health systems have the capacity to detect promptly and manage potential cases of kidney disease.,0
"Micronutrients are essential vitamins and minerals – there are about 30 in total, including 13 vitamins (such as A, B-complex, C, D, E, and K) and 16 minerals (like iron, iodine, zinc, and calcium) – that the body needs in small amounts for proper growth and health.",0
"Deficiencies in these nutrients can lead to serious health issues, from anaemia and scurvy to cognitive impairment and neural tube defects.",0
"Globally, micronutrient deficiencies are highly prevalent: more than half of children under five and over two‑thirds of non‑pregnant women of reproductive age are deficient in at least one key micronutrient (typically iron, zinc, vitamin A, or folate).",0
"Encourage a diet with a wide variety of nutrient‑dense foods, including fruits, vegetables, whole grains, legumes, nuts, seeds, and lean animal‑source foods, to ensure adequate intake of key vitamins and minerals.",0
"Promote the consumption of micronutrient‑rich foods regularly – for example, beans or lean meats to support iron intake; dark‑green leafy vegetables to improve vitamin A status; or iodized salt to avoid iodine deficiency.",0
"In countries where micronutrient deficiencies are highly prevalent (20% or higher), integrate large‑scale food fortification into national public health strategies by fortifying widely-consumed staples and condiments – such as flour, rice, oil, salt, or sugar – with key micronutrients (e.g., iron, folic acid, vitamin A, iodine, and zinc).",0
"A wide variety of foods, including a variety of fruits, vegetables, pulses, wholegrains and lean sources of protein, help ensure a healthy diet.",0
"Diverse diets, based on a wide variety of foods, between and within food groups, are associated with a greater likelihood of meeting vitamin and mineral requirements and reduced risk of diet-related noncommunicable diseases.",0
"For many adults, a shift towards more plant-based sources of protein may bring health benefits, particularly when the shift is away from red meat.",0
"Foods high in unhealthy fats, free sugars and sodium should be limited.",0
"Additionally, diets containing significant amounts of highly processed foods, which are often high in sodium, sugar or unhealthy fats, are associated with negative health outcomes.",0
"In the first 2 years of a child’s life, optimal nutrition fosters healthy growth and improves cognitive development.",0
It also reduces the risk of becoming overweight or obese and developing NCDs later in life.,0
infants should be breastfed exclusively during the first 6 months of life;.,0
infants should be breastfed continuously until 2 years of age and beyond;.,0
"from 6 months of age, breast milk should be complemented with a variety of adequate, safe and nutrient-dense foods.",0
Salt and sugars should not be added to complementary foods;.,0
"infants and young children of 6–23 months of age should consume a diverse diet that includes animal source foods, such as meat, fish, or eggs, as well as fruits and vegetables;.",0
consumption of starchy staple foods should be minimized; and.,0
"foods high in sugar, salt and trans fats as well as sweet beverages should be avoided.",0
"Diet evolves over time, being influenced by many social and economic factors that interact in a complex manner to shape individual dietary patterns.",0
"These factors include income, food prices (which will affect the availability and affordability of healthy foods), individual preferences and beliefs, cultural traditions, and geographical and environmental aspects (including climate change).",0
"Therefore, creating a healthy food environment – that promotes a diversified, balanced and healthy diet – requires the involvement of multiple sectors and stakeholders, including government, and the public and private sectors.",0
Governments have a central role in creating a healthy food environment that enables people to adopt and maintain healthy dietary practices.,0
"creating coherence in national policies and investment plans – including health, food and agricultural, education, fiscal and trade policies – to promote a healthy diet and protect public health through: increasing incentives (e.g.",0
"through subsidies) for producers and retailers to grow, use and sell fresh fruit and vegetables;.",0
"establishing taxes and reducing incentives for the food industry to decrease production of processed foods containing high levels of saturated fat, trans fat, free sugars and salt/sodium;.",0
"encouraging reformulation of food products to reduce the contents of saturated fat, trans fat, free sugars and salt/sodium, with the goal of eliminating industrially-produced trans fat;.",0
implementing mandatory instruments to protect children from the harmful impact of food marketing;.,0
"establishing standards to foster healthy dietary practices through ensuring the availability of healthy, nutritious, safe and affordable foods in pre-schools, schools, other public institutions and the workplace; and.",0
"encouraging transnational, national and local food services and catering outlets to improve the nutritional quality of their foods – ensuring the availability and affordability of healthy options – and to review portion sizes and pricing;.",0
promoting consumer awareness of a healthy diet;.,0
developing school policies and programmes that encourage and enable children to adopt and maintain a healthy diet;.,0
"nudging interventions that deliberately adjust the choice architecture and the context within which consumers make dietary decisions, including how options are presented, placed and priced;.",0
"educating children, adolescents and adults about nutrition and healthy dietary practices;.",0
"encouraging culinary skills, including in children through schools;.",0
"supporting point-of-sale information, including through nutrition labelling that ensures accurate, standardized and comprehensible information on nutrient contents in foods (in line with the Codex Alimentarius Commission guidelines);.",0
implementing interpretive front-of-pack labelling to facilitate consumer understanding; and.,0
providing nutrition and dietary counselling at primary health-care facilities;.,0
implementing the International Code of Marketing of Breast-milk Substitutes and subsequent relevant World Health Assembly resolutions;.,0
implementing policies and practices to promote protection of working mothers;.,0
ensuring access to quality counselling on infant and young child feeding during pregnancy and the first two years of life; and.,0
"promoting, protecting and supporting breastfeeding in health services and the community, including through the Baby-friendly Hospital Initiative.",0
WHO’s work to improve diets and nutrition is rooted in mandates from its Member States through resolutions of the World Health Assembly (WHA) and the United Nations General Assembly (UNGA).,0
"Momentum started with the WHO Global Strategy on Diet, Physical Activity and Health in 2004, which called for coordinated action across governments, civil society, the private sector and WHO to promote healthy diets and physical activity.",0
protecting people from harmful dietary components and commercial practices; and.,0
"Together, these resolutions require WHO to support all countries in ensuring that everyone, everywhere, can access healthy, safe and affordable diets throughout life.",0
"Building the evidence: guidelines, standards and toolsTo fulfil these mandates, WHO turns nutrition science into practical, evidence‑based guidance.",0
"WHO has produced more than 15 guidelines over the last decade, including recommendations on reducing salt, sugars and unhealthy fats; eliminating industrially produced trans fats; improving complementary feeding; and supporting breastfeeding, among others.",0
Supporting action: turning evidence into impactWHO supports countries in implementing these policies through multiple initiatives.,0
The REPLACE action package offers a roadmap to eliminate industrial trans fats and has already helped protect more than 50% of the global population.,0
"WHO also co‑leads major global efforts – including the Global Action Plan on Child Wasting, the Framework to Accelerate Anaemia Reduction and the Acceleration Plan to Stop Obesity – to support countries in developing national roadmaps and strengthening primary health‑care services.",0
"Monitoring progress: data for accountabilityWHO collaborates with FAO, UNICEF and academic partners to strengthen global monitoring of dietary patterns and food‑policy implementation.",0
"WHO uses low‑burden tools and standardized metrics to assess dietary intake at population level, enabling more frequent and comparable data collection .",0
"WHO also maintains the Global Database for Food and Nutrition Actions (GIFNA), which tracks more than 3100 food and nutrition policies worldwide, helping monitor progress and identify policy gaps.",0
The number of people living with diabetes rose from 200 million in 1990 to 830 million in 2022.,0
Prevalence has been rising more rapidly in low- and middle-income countries than in high-income countries.,0
More than half of people living with diabetes did not take medication for their diabetes in 2022.,0
Diabetes treatment coverage was lowest in low- and middle-income countries.,0
"Diabetes causes blindness, kidney failure, heart attacks, stroke and lower limb amputation.",0
"In 2021, diabetes and kidney disease due to diabetes caused over 2 million deaths.",0
"In addition, around 11% of cardiovascular deaths were caused by high blood glucose.",0
"A healthy diet, regular physical activity, maintaining a normal body weight and avoiding tobacco use are ways to prevent or delay the onset of type 2 diabetes.",0
"Diabetes can be treated and its consequences avoided or delayed with diet, physical activity, medication and regular screening and treatment for complications.",0
"In 2022, 14% of adults aged 18 years and older were living with diabetes, an increase from 7% in 1990.",0
More than half (59%) of adults aged 30 years and over living with diabetes were not taking medication for their diabetes in 2022.,0
"In 2021, diabetes was the direct cause of 1.6 million deaths and 47% of all deaths due to diabetes occurred before the age of 70 years.",0
"Another 530 000 kidney disease deaths were caused by diabetes, and high blood glucose causes around 11% of cardiovascular deaths (1).",0
"Since 2000, mortality rates from diabetes have been increasing.",0
"By contrast, the probability of dying from any one of the four main noncommunicable diseases (cardiovascular diseases, cancer, chronic respiratory diseases or diabetes) between the ages of 30 and 70 decreased by 20% globally between 2000 and 2019.",0
Symptoms of diabetes may occur suddenly.,0
"In type 2 diabetes, the symptoms can be mild and may take many years to be noticed.",0
needing to urinate more often than usual.,0
"Over time, diabetes can damage blood vessels in the heart, eyes, kidneys and nerves.",0
"People with diabetes have a higher risk of health problems including heart attack, stroke and kidney failure.",0
Diabetes can cause permanent vision loss by damaging blood vessels in the eyes.,0
Many people with diabetes develop problems with their feet from nerve damage and poor blood flow.,0
This can cause foot ulcers and may lead to amputation.,0
"Type 1 diabetes (previously known as insulin-dependent, juvenile or childhood-onset) is characterized by deficient insulin production and requires daily administration of insulin.",0
In 2017 there were 9 million people with type 1 diabetes; the majority of them live in high-income countries.,0
Neither its cause nor the means to prevent it are known.,0
Type 2 diabetes affects how your body uses sugar (glucose) for energy.,0
"It stops the body from using insulin properly, which can lead to high levels of blood sugar if not treated.",0
"Over time, type 2 diabetes can cause serious damage to the body, especially nerves and blood vessels.",0
Type 2 diabetes is often preventable.,0
"Factors that contribute to developing type 2 diabetes include being overweight, not getting enough exercise, and genetics.",0
Early diagnosis is important to prevent the worst effects of type 2 diabetes.,0
The best way to detect diabetes early is to get regular check-ups and blood tests with a healthcare provider.,0
Symptoms of type 2 diabetes can be mild.,0
They may take several years to be noticed.,0
Symptoms may be similar to those of type 1 diabetes but are often less marked.,0
"As a result, the disease may be diagnosed several years after onset, after complications have already arisen.",0
More than 95% of people with diabetes have type 2 diabetes.,0
"Type 2 diabetes was formerly called non-insulin dependent, or adult onset.",0
"Until recently, this type of diabetes was seen only in adults but it is now also occurring increasingly frequently in children.",0
Gestational diabetes is hyperglycaemia with blood glucose values above normal but below those diagnostic of diabetes.,0
Gestational diabetes occurs during pregnancy.,0
Women with gestational diabetes are at an increased risk of complications during pregnancy and at delivery.,0
These women and possibly their children are also at increased risk of type 2 diabetes in the future.,0
"Gestational diabetes is diagnosed through prenatal screening, rather than through reported symptoms.",0
Impaired glucose tolerance (IGT) and impaired fasting glycaemia (IFG) are intermediate conditions in the transition between normality and diabetes.,0
"People with IGT or IFG are at high risk of progressing to type 2 diabetes, although this is not inevitable.",0
Lifestyle changes are the best way to prevent or delay the onset of type 2 diabetes.,0
reach and keep a health body weight.,0
stay physically active with at least 150 minutes of moderate exercise each week.,0
eat a healthy diet and avoid sugar and saturated fat.,0
Early diagnosis can be accomplished through relatively inexpensive testing of blood glucose.,0
People with type 1 diabetes need insulin injections for survival.,0
One of the most important ways to treat diabetes is to keep a healthy lifestyle.,0
Some people with type 2 diabetes will need to take medicines to help manage their blood sugar levels.,0
These can include insulin injections or other medicines.,0
sodium-glucose co-transporters type 2 (SGLT-2) inhibitors.,0
"Along with medicines to lower blood sugar, people with diabetes often need medications to lower their blood pressure and statins to reduce the risk of complications.",0
foot care to treat ulcers.,0
screening and treatment for kidney disease.,0
eye exams to screen for retinopathy (which causes blindness).,0
"WHO aims to stimulate and support the adoption of effective measures for the surveillance, prevention and control of diabetes and its complications, particularly in low- and middle-income countries.",0
provides scientific guidelines for the prevention of major noncommunicable diseases including diabetes;.,0
develops norms and standards for diabetes diagnosis and care;.,0
"builds awareness on the global epidemic of diabetes, marking World Diabetes Day (14 November); and.",0
conducts surveillance of diabetes and its risk factors.,0
"In April 2021 WHO launched the Global Diabetes Compact, a global initiative aiming for sustained improvements in diabetes prevention and care, with a particular focus on supporting low- and middle-income countries.",0
"In May 2021, the World Health Assembly agreed a Resolution on strengthening prevention and control of diabetes.",0
In May 2022 the World Health Assembly endorsed five global diabetes coverage targets to be achieved by 2030.,0
"To learn more about the Global Diabetes Compact, to access diabetes-related technical publications to get involved in upcoming initiatives, visit the Global Diabetes Compact webpage.",0
Global Burden of Disease Collaborative Network.,0
Global Burden of Disease Study 2021.,0
Institute for Health Metrics and Evaluation.,0
Regular physical activity provides significant physical and mental health benefits.,0
"In adults, physical activity contributes to prevention and management of noncommunicable diseases such as cardiovascular diseases, cancer and diabetes and reduces symptoms of depression and anxiety, enhances brain health, and can improve overall well-being.",0
"In children and adolescents, physical activity promotes bone health, encourages healthy growth and development of muscle, and improves motor and cognitive development.",0
31% of adults and 80% of adolescents do not meet the recommended levels of physical activity.,0
"The global target set to reduce levels of physical inactivity in adults and adolescents is a 10% relative reduction by 2025 and 15% by 2030, from the 2010 baseline.",0
The global estimate of the cost of physical inactivity to public health care systems between 2020 and 2030 is about US$ 300 billion (approximately US$ 27 billion per year) if levels of physical inactivity are not reduced.,0
WHO defines physical activity as any bodily movement produced by skeletal muscles that requires energy expenditure.,0
"Physical activity refers to all movement including during leisure time, for transport to get to and from places, or as part of a person’s work or domestic activities.",0
Both moderate- and vigorous-intensity physical activity improve health.,0
"Popular ways to be active include walking, cycling, wheeling, sports, active recreation and play, and can be done at any level of skill and for enjoyment by everybody.",0
"Physical activity is beneficial to health and well-being and conversely, physical inactivity increases risk for noncommunicable diseases (NCDs) and other poor health outcomes.",0
"Together, physical inactivity and sedentary behaviours are contributing to the rise in NCDs and placing a burden on healthcare systems.",0
Improving levels of physical activity will benefit health and well-being and contribute to attainment of global NCD targets and a number of the Sustainable Development Goals.,0
"However, this will require increased commitments and investments by Member States; innovation and contributions from non-state actors; cross sector coordination and collaboration; and ongoing guidance and monitoring from WHO.",0
Physical inactivity is one of the leading risk factors for noncommunicable diseases mortality.,0
People who are insufficiently active have a 20% to 30% increased risk of death compared to people who are sufficiently active.,0
"in children and adolescents, improved physical fitness, cardiometabolic health, bone health, cognitive outcomes, mental health and reduced body fat;.",0
"in adults and older adults, reduced risk of all-cause mortality, risk of cardiovascular disease mortality, incident hypertension, incident site-specific cancers, incident type-2 diabetes, and falls and improved mental health, cognitive health, sleep and measures of body fat; and.",0
"for pregnant and post-partum women, decreased risk of pre-eclampsia, gestational hypertension, gestational diabetes, excessive gestational weight gain, delivery complications, postpartum depression and newborn complications.",0
Physical activity has no adverse effects on birthweight or increased risk of stillbirth.,0
"Sedentary behaviour is any period of low-energy expenditure while awake such as sitting, reclining or lying.",0
"Lives are becoming increasingly sedentary through the use of motorized transport and the increased use of screens for work, education and recreation.",0
"in children and adolescents, increased adiposity, poorer cardiometabolic health, fitness, and behavioural conduct/pro-social behaviour, and reduced sleep duration; and.",0
"in adults, increased all-cause mortality, cardiovascular disease mortality and cancer mortality and incidence of cardiovascular disease, cancer and type-2 diabetes.",0
"The WHO Global guidelines on physical activity and sedentary behaviour provide recommendations for children (age 5 and up), adolescents, adults, older adults, pregnant and post-partum women, and people living with chronic conditions and disabilities.",0
"The recommendations detail the amount of physical activity (frequency, intensity and duration) required to offer significant health benefits and to reduce health risks.",0
The guidelines highlight that any amount of physical activity is better than none; all physical activity counts; all age groups should limit the amount of time being sedentary; and muscle strengthening benefits everyone.,0
An infographic summarizes the current WHO guidelines on physical activity and sedentary behaviour for all age groups.,0
WHO develops guidelines through an arduous process of reviewing scientific evidence and expert consultations.,0
"Preparations are already underway for the next guidelines, anticipated for publication in 2030.",0
WHO regularly monitors trends in physical inactivity.,0
"A recent study (1) found that nearly one third (31%) of the world’s adult population, 1.8 billion adults, are physically inactive.",0
"That is, they do not meet the global recommendations of at least 150 minutes of moderate-intensity physical activity per week.",0
This is an increase of 5 percentage points between 2010 and 2022.,0
"If this trend continues, the proportion of adults not meeting recommended levels of physical activity is projected to rise to 35% by 2030.",0
"Globally, there are notable age and gender differences in levels of physical inactivity.",0
Women are less active than men by an average of 5 percentage points.,0
This has not changed since 2000.,0
After 60 years of age physical inactivity levels increase in both men and women.,0
81% of adolescents (aged 11–17 years) were physically inactive (2).,0
"Adolescent girls were less active than adolescent boys, with 85% vs. 78%, not meeting WHO guidelines.",0
Many different factors can determine how active people are and the overall levels of physical activity in different population groups.,0
"These factors can be related to the individual or wider social, cultural, environmental and economic determinants that influence access and opportunities to be active in safe and enjoyable ways.",0
The WHO Global action plan on physical activity provides policy recommendations for countries and communities to promote physical activity and ensure everyone has more opportunities to be regularly active.,0
"Examples of these recommendations include policies that ensure access to walking, cycling and non-motorized transport; that increase physical activity opportunities in schools, workplaces, childcare centres and in healthcare service delivery; and that increase accessibility and availability of community sports and public open spaces.",0
"Implementing effective policies to increase levels of physical activity requires a collective effort, coordinated across multiple government departments at all levels, including health, transport, education, employment, sport and recreation, and urban planning.",0
"It also demands national and local engagement from nongovernmental organizations, various sectors, stakeholders and disciplines to support the implementation of policies and solutions that are appropriate to a country’s cultural and social environment.",0
"Priority should be given to policy actions that address disparities in levels of physical activity, promoting, enabling and encouraging physical activity for all.",0
"developing global policy guidance and guidelines, underpinned by latest evidence and consensus;.",0
supporting countries to develop appropriate policies that promote physical activity and multisectoral collaborations;.,0
conducting advocacy to raise awareness of the multiple benefits of increasing physical activity and support the development of economic analysis of the impact of increasing physical activity and return on investment of different policy interventions;.,0
"developing technical tools and training packages to help countries build capacity in the implementation of policy and programmes across key settings and innovations using digital platforms including through WHO Academy courses, multi-country workshops and other knowledge exchange activities;.",0
"convening, coordinating, and collaborating to strengthen partnerships across sectors and between policy makers, practitioners and researcher communities; and.",0
"undertaking global monitoring and reporting of progress on implementation of the Global action plan on physical activity, global levels of physical inactivity and progress towards a 15% relative reduction in the prevalence of physical inactivity by 2030.",0
"WHO supports countries and stakeholders to implement the recommended actions by developing global policy guidance and guidelines, underpinned by latest evidence and consensus, to help countries develop appropriate policies, investment cases and financing mechanisms.",0
